Address,Full Address,Name,Date,Architect,Builder,Style,Link,Notes,Photo,Marker
Lake View Cemetery,"42.456419, -76.493065",Lake View Cemetery,1864?,,,Cemetery,,"Cemetery where interments include Cornell Family (mausoleum), Charles Blood and Jared Newman, developers of Cayuga Heights, Wyckoff Family (mausoleum), William Henry Miller and Sherwood Holt, architects, the Rothschild family (of Rothschild's Department Store on the Commons), Carl Sagan. (Public Sites)",http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMTUxtMTFtZnFBZTg&export=download,
1 Lowell Pl,"1 Lowell Pl, Ithaca, NY 14850",,1985,,Frank Hanshaw,Contemporary,,,http://docs.google.com/uc?authuser=0&id=0B4mZNbHgzx_LSjkzX0p2ZFlWaEE&export=download,
1 Parkway Pl,"1 Parkway Pl, Ithaca, NY 14850",,1900,Gibb and Waltz,,Craftsman,,"Designed by architects Gibb and Waltz, this home was originally the carriage house for developer Jared Newman's home at 9 Parkway Place. (Notable Architecture)",http://docs.google.com/uc?authuser=0&id=0B4mZNbHgzx_Lb1h1OG5QLW1Lcnc&export=download,
1 Pleasant Grove Lane,"1 Pleasant Grove Lane, Ithaca, NY 14850",,1981,,,Cape Cod,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMT09TRnI2bEprWU0&export=download,
1 Strawberry Lane,"1 Strawberry Lane, Ithaca, NY 14850",,1933,J. Lakin Baldridge,,Colonial,,Home of the architect J. Lakin Baldridge; later home of local architect Carl Tallman. (Notable Architecture),http://docs.google.com/uc?authuser=0&id=0B4mZNbHgzx_LVXVPeDdaM1R2ODg&export=download,
1 Triphammer Lane,"1 Triphammer Lane, Ithaca, NY 14850",,1954,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0B4mZNbHgzx_LSHJNU3VoSWtpRFk&export=download,
1 Tyler Rd,"1 Tyler Rd, Ithaca, NY 14850",,1955,,,Contemporary,,,http://docs.google.com/uc?authuser=0&id=0B4mZNbHgzx_LQVk3aU5BTmhtZ0k&export=download,
1 Winthrop Pl,"1 Winthrop Pl, Ithaca, NY 14850",,1963,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0B4mZNbHgzx_LUzdibFF0UGR3ZVU&export=download,
10 Highland Park Lane,"10 Highland Park Lane, Ithaca, NY 14850",,1953,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0B4mZNbHgzx_LUlBFWlBWUk5zejg&export=download,
10 Lowell Pl,"10 Lowell Pl, Ithaca, NY 14850",,1990,,Frank Hanshaw,Contemporary,,,http://docs.google.com/uc?authuser=0&id=0B4mZNbHgzx_LX0p1YXhXYUIxeTA&export=download,
10 Spruce Lane,"10 Spruce Lane, Ithaca, NY 14850",,1984,,,Contemporary,,,http://docs.google.com/uc?authuser=0&id=0B4mZNbHgzx_Lc2dWX19NaUlZaDQ&export=download,
10 Tyler Rd,"10 Tyler Rd, Ithaca, NY 14850",,1974,"Levatich, Miller, Hoffman",,Contemporary,,,http://docs.google.com/uc?authuser=0&id=0B4mZNbHgzx_LbVh4WjBSX2pKWFk&export=download,
100 Iroquois Rd,"100 Iroquois Rd, Ithaca, NY 14850",,1916,,,Craftsman,,"Home of writer and Newbery Medal Award winner Ruth Durand Sawyer, 1922-45. (Major Award Winners, Writers, Notable Architecture, Village History, Notable Women)",http://docs.google.com/uc?authuser=0&id=0B4mZNbHgzx_LTVVTa0lXNkZyY28&export=download,
100 Ridgewood Rd,"100 Ridgewood Rd, Ithaca, NY 14850","""The Castle,"" Beta Theta Pi",1917,,,Inn/Lodge,,"(Public Sites, Fraternity, Notable Architecture)",http://docs.google.com/uc?authuser=0&id=0B4mZNbHgzx_LazFTb01WRG9tMnc&export=download,
100 Sunset Park,"100 Sunset Park, Ithaca, NY 14850",,1953,,,Contemporary,,"Home of Organic Chemist and Manhattan Project Scientist, William T. Miller, 1952. (Major Award Winners)",http://docs.google.com/uc?authuser=0&id=0B4mZNbHgzx_LeEhwZ2lDS2s1bjg&export=download,
100 West Upland Rd ,"100 West Upland Rd, Ithaca, NY 14850",,1948,,Erma Cicchetti,Cape Cod,,,http://docs.google.com/uc?authuser=0&id=0B4mZNbHgzx_LMG5ZRUNKbnhGQzQ&export=download,
100 Winthrop Dr,"100 Winthrop Dr, Ithaca, NY 14850",,1960,,,Split Level,,,http://docs.google.com/uc?authuser=0&id=0B4mZNbHgzx_LVjVvMU1mZHFxMXM&export=download,
1001 Hanshaw Rd,"1001 Hanshaw Rd, Ithaca, NY 14850",Former Schoolhouse No. 6/School No. 22/The Kline Schoolhouse,c. 1850,,,Colonial,http://cayugaheightshistory.weebly.com/kline-schoolhouse.html,"Site of the first schoolhouse in Cayuga Heights, the original house was built in the early- to mid-1800s, on land from the Cradit farm family. Today, evidence of the house's original use can be seen in the two doors that flank the chimney--one entrance for girls; one for boys. The schoolhouse bell remains in the office, a reminder of schooldays past. (Village History, Notable Architecture)",http://docs.google.com/uc?authuser=0&id=0B4mZNbHgzx_LV1huWmROd2RfUVU&export=download,
1001 Highland Rd,"1001 Highland Rd, Ithaca, NY 14850",,1903,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0B4mZNbHgzx_LcDItNzhTUVpLTW8&export=download,
1001 Triphammer Rd,"1001 Triphammer Rd, Ithaca, NY 14850",,1942,,,Cape Cod,,,http://docs.google.com/uc?authuser=0&id=0B4mZNbHgzx_LN0g3SWFvbE5GbkE&export=download,
1002 Hanshaw Rd,"1002 Hanshaw Rd, Ithaca, NY 14850",,1988,,,Contemporary,,,http://docs.google.com/uc?authuser=0&id=0B4mZNbHgzx_LRmIxUVpSckwwdkE&export=download,
1002 Triphammer Rd,"1002 Triphammer Rd, Ithaca, NY 14850",,1940,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0B4mZNbHgzx_LS2JLQkNEeUI2N0k&export=download,
1003 Triphammer Rd,"1003 Triphammer Rd, Ithaca, NY 14850",,1969,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0B4mZNbHgzx_LZTBfOFpCUjlPOWM&export=download,
1004 Highland Rd,"1004 Highland Rd, Ithaca, NY 14850",,1969,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0B4mZNbHgzx_LZkdZalEyczl2MjQ&export=download,
1004 Triphammer Rd,"1004 Triphammer Rd, Ithaca, NY 14850",,1940,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0B4mZNbHgzx_LV0hDZFdSZnVyX3c&export=download,
1005 Highland Rd,"1005 Highland Rd, Ithaca, NY 14850",,1950,,,Cape Cod,,,http://docs.google.com/uc?authuser=0&id=0B4mZNbHgzx_LZlpsZG5SMzdOYXc&export=download,
1006 Hanshaw Rd,"42.4685683332871,-76.4768554737403",,1937,Carl C. Tallman,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0B4mZNbHgzx_LdHNidkx3ckllTFU&export=download,
1006 Highland Rd,"1006 Highland Rd, Ithaca, NY 14850",,1951,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0B4mZNbHgzx_LSkNZV2FkSDBPR0E&export=download,
1006 Triphammer Rd,"1006 Triphammer Rd, Ithaca, NY 14850",,1939,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0B4mZNbHgzx_LV3ZvTG5KMmVpcE0&export=download,
1007 Hanshaw Rd,"1007 Hanshaw Rd, Ithaca, NY 14850",,1959,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0B4mZNbHgzx_LZm40Znd2bERNYUU&export=download,
1007 Triphammer Rd,"1007 Triphammer Rd, Ithaca, NY 14850",,1959,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMQWNBeW1VTDUwM0U&export=download,
1008 Hanshaw Rd,"1008 Hanshaw Rd, Ithaca, NY 14850",,1936,,,Cape Cod,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMVE4wRzZ4OS1XdkU&export=download,
1008 Triphammer Rd,"1008 Triphammer Rd, Ithaca, NY 14850",,1936,,,Cape Cod,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMZDMyODczbnhIUzA&export=download,
1009 Hanshaw Rd,"1009 Hanshaw Rd, Ithaca, NY 14850",,1956,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMcmpkd1NqN0tyd28&export=download,
101 Brook Lane,"101 Brook Lane, Ithaca, NY 14850",,1933,,,Cape Cod,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMWTYxb21EVjQydmM&export=download,
101 Burleigh Dr,"101 Burleigh Dr, Ithaca, NY 14850",,1948,,,Raised Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMQmhkU28xa2FaSjA&export=download,
101 Devon Rd,"101 Devon Rd, Ithaca, NY 14850",,1954,,,Raised Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMa2lMbWRnQzMzTVE&export=download,
101 Highgate Rd,"101 Highgate Rd, Ithaca, NY 14850",,1930,,,Tudor Revival,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMQ2lNMHAxdGJvLXM&export=download,
101 Klinewoods Rd,"101 Klinewoods Rd, Ithaca, NY 14850",,1958,,,Contemporary,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMT0FmVlAwaTFrcWc&export=download,
101 Simsbury Dr,"101 Simsbury Dr, Ithaca, NY 14850",,1978,,,Raised Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMVVE1OFFxMzV3RTg&export=download,
101 The Parkway,"101 The Parkway, Ithaca, NY 14850",,1954,Tallman & Tallman,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMeS1Qbk1ZR1NzZFU&export=download,
101 West Upland Rd ,"101 West Upland Rd , Ithaca, NY 14850",,1922,Gibb & Waltz,,Queen Anne,,"Sir Ian Axford lived here (1965-67), one of the greatest figures in space and astrophysical plasma research. ",http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMUEdBYjNrRmpzUms&export=download,
101 Warwick Pl,"101 Warwick Pl, Ithaca, NY 14850",,1964,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMLVd3dDY2TG5jNmM&export=download,
1010 Hanshaw Rd,"1010 Hanshaw Rd, Ithaca, NY 14850",,1936,,,Shed,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMc2E3czMyZ1FQQnc&export=download,
1010 Highland Rd,"1010 Highland Rd, Ithaca, NY 14850",,1955,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMZW9lMTktVHdtRGM&export=download,
1010 Triphammer Rd,"1010 Triphammer Rd, Ithaca, NY 14850",,1923,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMWUZPdlFYZzRGcDA&export=download,
